Shimaore / Maore,Français
Muparano wa nishani na ngustaârabu,Rencontre de peuples et de civilisations
Kaɓulia,Préface
Wujua yi tarehi yina tanafu trini hatru ju?,Quel est le rôle de l'histoire dans notre société ?
Su-ala laka lazimu lidzisiwe wana-zioni likoli likadzwa ɓaoni trengweni leo.,Ce qui pourrait bien être un sujet de dissertation interpelle l'actualité du présent.
"Harmwa wulemengu wunu washapiha na trongo za kula suku, wuvutsia matso zabvira uruhusu mutru ajue woho rala esa ayelewe fetre za leo.","Dans notre monde où l'immédiateté est devenue la norme, le voyage dans le passé nous permet de découvrir d'où nous venons et d'éclairer notre présent."
"Wasi wujua zabvira, zizo zaripanga, yini de yi pingu muhimu yitsotsongao ridzikie moni na tru ya karini na karini.",La connaissance du passé qui nous constitue est le matériau de notre mémoire individuelle et collective indispensable à la création d'un sentiment d'appartenance à une communauté multiséculaire.
"Moni na shio ya matokotoku yatsimu zana yini << maore: muparano wa nishani na ngustaâraɓu », nasuri atumani, mukatiɓu, musarifu ɓao la mizaha, esa mutru wa mila ajilihanao, bvumoja na wutaâlamu wa tarehi wa îsa de ngiziju muɗwahoma, asuriwunishia wu mwandro wa wu muketsio wa watru maore bvumoja na ya mabantu na waostronezi hari mwa yi karni ya 8.","Dans cette bande dessinée très documentée «Mayotte rencontre de peuples et de civilisations », nassur attoumani, écrivain, scénariste et traditionnaliste reconnu, avec la collaboration scientifique du jeune historien, chercheur spécialiste de l'histoire de mayotte, M. Inssa de nguizijou M'dahoma, nous plonge dans les premières heures du peuplement de Mayotte avec les bantous et les austronésiens au VIIIe siècle."
"Esa, asuriârifu mujilio wa wu waraɓu wala irani hari mwa yi karni ya 15 na muketsisio wa yi mamulaka ya shiaraɓu.","Ensuite, il nous éclaire sur l'arrivée des arabo-shiraziens au XVe siècle et la mise en place du régime de sultanat."
"Maja-leo wanu wagamatra yi maore, wasisisa mizi wu wusilamu, esa, watria yi maore hari mwa yi trandra ya wuɓahazazi ya waswahili.","Ces nouveaux arrivants prennent le contrôle de l'île, enracinent l'islam et insèrent Mayotte dans les réseaux commerciaux swahilis."
"Hususwia ya maore, leo, yisuendra ha nguvu na muda wunu.",L'identité mahoraise d'aujourd'hui est largement tributaire de cette époque.
"Tsi tu ɓe, ɓaharia la shi eropa laka hadwira hari mwa yi ɓahari ya hindi wula karini ya 19, lirilishia ngudiɓitifu ngema zapatana na ya madwara ju la wakazi wa masiwa ya komoru wakati ya makafa ya wu waɓushi, wula karni ya 18 ata ya 19.","De plus, les navigateurs européens présents dans l'océan indien à partir du xvie siècle, nous ont légué des témoignages précieux au scénario sur les malheurs subits par les habitants de l'archipel lors des razzias malgaches du xviiie jusqu'au xixe siècle."
"Esa, musoma atsahao ajue mayesha ya masultwani ya maore, kondro zao za wuwania wuhuru wa shisiwa yao au milimbo yao ya yezi, atsopara, bvanu, madjawabu ya masu-ala yahe.","D'autre part, le lecteur qui s'intéresse à la vie des sultans mahorais, à leurs luttes pour défendre l'indépendance territoriale de leur île ou encore leurs rivalités pour le pouvoir, trouvera des réponses à ses questions."
"Ha wumalidza, mwaha 1841 wuɓua ndzia pia ya shikandre pia hari mwa yi tarehi ya maore, ne de yi shikandre ya wukoloni na zawo maneno ya tama ju la wasalia na ya wutukivu ju la waɓaki.","Enfin, l'année 1841 ouvre la voie à une nouvelle ère dans l'histoire de Mayotte, celle de la colonisation avec son corollaire d'espoirs pour les uns et de désillusions pour les autres."
